name,answer
Shayne Neumann,"Shayne Neumann (born 2 March 1967) is an Australian lawyer and political figure. He was elected to the Australian Senate as a member of the Australian Labor Party on July 5, 2010. Prior to entering politics, Neumann was senior legal advice at the National Aboriginal Legal Services Secretariat and a solicitor at the Aboriginal and Torres Strait Islanders Commission before becoming General Counsel and later a legal and policy advisor to the Minister for Indigenous Affairs in 2007. He was appointed as General Secretary of the National Aboriginal Youth Political Forum of Australia in 2002 and served as Secretary of the Aboriginal and Torres Strait Islanders Commission from 2002 to 2005. He was elected to the position of National President of the Aboriginal and Torres Strait Islanders Commission for 2005 to 2007. In this role he was an advisor to the former Prime Minister, Kevin Rudd, the Minister for Families, Community Services and Indigenous Affairs, Jenny Macklin, and the Government's 1st Assistant Minister for Health and Aged Care, Michael Danby. He has served as an adviser regarding Aboriginal policy. He is a graduate of the University of Queensland and a Fellow of the University Queensland University of Queensland of Queensland. He completed his bachelor of laws in February, 2005 2013. He has a graduate of social policy University of Queensland a PhD holder of Bachelor of humanities Policy. of humanities, 7 University of Queensland of Queensland University's humanities and Social Sciences, University of Social Policy Ph.
"
Manuel Salazar (footballer),"Manuel Salazar (footballer) (born 4 December 1978, La Pintana) is a retired Chilean footballer, who currently works as football analyst.
"
Roselyn Sánchez,"Roselyn Sánchez (born October 2, 1973) is an American actress, model and singer. She starred as Dr. Luisa Alver on the CBS medical drama NCIS: Los Angeles from 2009 to 2013. She has appeared in various movies and TV shows such as the action film, Havana, The Bold and The Beautiful and Celebrity Duets. She is a former model and singer; one of her early roles was as a singer in a music video for an album by Mexican singer Juan Gabriel. She also appeared in three episodes of the HBO show Big Love, as the character Celeste Esparza, one of the wives of the main character Bill Henrickson. Sánchez was nominated for a 2008 Imagen Award for her role on NCIS Los Angeles. Sánchez and her husband, actor Luis Guzmán, moved to Mexico and had a child in December 2008.Sánchez has a brother named Oscar. Her father, José Sánchez, is also a musician. Since her childhood, Sánchez has been working for the cause of children, and, since she was 18, she has been living with a friend for children's children, a girl named Ana. Sánchez grew up in Tucson, Arizona. Sánchez is a singer who toured internationally.Sánchez' was the youngest of four.Sánchez is her friend for a living in California.Sánchez was the youngest of a 4.Sánchez the 13th.Sánchez was the 14th of youngest of the 151: SACHI13th 151th of a youngest of the United States of California. In 214th your biology the 13th1th?
"
Waruhiu Itote,"Waruhiu Itote (1890-1966) was a member of the Kikuyu subgroup of the larger Kenyan Kikuyu ethnic group. He was born in 1890 into a prominent Kikuyu family, and was a son of the well-known Kikuyu leader Njoroge Mungai and Ngina, the daughter of another Kikuyu leader, Mugoi. Itote was educated at the Diocesan School in Mukurwe-ini, now known as Mukuria High School. Later at King's College in Budo in Uganda, he studied agriculture under Ernest Marshall. He returned to Kenya to work in the British colonial government's Department of Lands and Settlement in 1912. Itote was a member of the Kenyan parliament from 1924 to 1954 as a representative of the Kikuyu, becoming a member of the Legislative Council. Itote was a founding member of the African Association (later the Kenya African Union) in 1911. He was appointed a member of the Kenya Native Council in 1913, becoming its vice-president in 1920.
"
Elsa Pataky,"Elsa Pataky (born Elsa Lafuente Fonseca on 18 July 1976, in Madrid, Spain) is a Spanish model, actress, and environmentalist. Pataky started modelling at age 16, while studying chemical engineering at the University Carlos III of Madrid. Afterwards, she moved to the United States to continue modelling, subsequently modelling in Milan, Paris and London. Pataky also dated actor Hugh Jackman from November 2010 to May 2011. Pataky began acting in 2001 in the Spanish film De lunes a dominique. Pataky made her debut in the Hollywood film Snakes on a Plane, followed by other Hollywood movies, including Giallo, The Hottie and the Nottie, The Oaf and Che. With actor Sylvester Stallone, she starred in the 2011 action film The Expendables. The latest from the 'K's
"
Garrincha,"Garrincha (January 28, 1933 – February 20, 1983) was a Brazilian forward for various clubs in South America, including Flamengo and the Brazil national team, on both of which he reached international fame. His greatest achievement may have been winning the football tournament of the 1962 FIFA World Cup at the age of just 29. In football matches between countries, he was often described as one of the greatest ever players on the left wing. His name Garrincha (in Portuguese) is derived from a tree, the acantácea, (Cantaxus ollaria) by his neighbors in his native region; his middle name is used instead in the form of his nickname to sign his full name. His nickname Garrincha comes from a tree similar to willow, which is locally called a acantácea, the willow (Salix sp., in the order Salicaceae), which is similar to (Nyssa sylvatica) the tupelo (Sorghum) or the wattle as was known Garrincha the tree. Some fans of Brazilian football and others considered Garrincha the best player of Brazilian football, while others consider it the best forward the world has been Garrincha the most perfect player in the world has been the world has been Garrincha the perfect forward the world has been the world has been the most perfect forward the world has been the world has been Garrincha the perfect forward the world has been the most the world has been Garrincha the world has been the perfect forward to the world has been the perfect.
"
Tim Fischer,"Tim Fischer (born 14 October 1946) is an Australian politician and the current President of the Nationals party. He is the first person to be knighted for political service in the history of the Australian Parliament. He was a member of the House of Representatives, initially representing the seat of Farrer.
"
Damir Memović,"Damir Memović (born 9 January 1960) is a football coach and manager. A former player, he works as an assistant manager with Croatia national football team. He was once named as the manager of the Croatian national team, but in the end he was only an interim coach.
"
Mitzi Gaynor,"Mitzi Gaynor (born Francesca Mitzi Maresca; August 4, 1931) is an American actress and cabaret performer who was one of Hollywood's biggest box office draws in the 1950s. A chorine and singer, she became an actress in minor movie roles but later appeared in musical film adaptations of Broadway shows such as South Pacific and There's No Business Like Show Business. Gaynor was under contract to Warner Bros. from 1951 to 1960. For the latter four years, her contract was renegotiated as part of a team that also included Bing Crosby, Rosemary Clooney and George Evans, all of whom worked exclusively for WB's short-lived subsidiary company, Renwal Pictures. Gaynor's film career started to tail off in the mid-1950s, as she was relegated to making programmer musicals for small distributors. She continued to tour in nightclubs and concert halls across the country, and has done so into the mid-1990s. Gaynor was engaged to David Douglas, but broke it off to accept a role with Frank Sinatra. Gaynor has played roles on television programs including her own series. She was married for ten years to film composer, Michael Strom. During her marriage, the couple was part of her own series. In 2008 after their marriage to music composer, Michael Strom. She made- Her Life. During their marriage, Gaynor is a married to David Douglas for All.
"
Vaira Vīķe-Freiberga,"Vaira Vīķe-Freiberga (Latvian: [ˈvɐi̯ra ˈviːkːe frieibɘˑra]), born 27 November 1937, is a Latvian politician who served as the fifth President of Latvia from 1999 through 2007. Prior to this office, she served as vice president of the United Nations Environment Programme and of the World Conservation Union. She was a member of the Council of Europe Parliamentary Assembly from 1993 to 1996 and of the International Commission on Missing Persons from 1995 to 2002. She was President of the Fourth World Conference on Women in 1995. In 2006, President of the Republic Latvia Vaira Vīķe-Freiberga received the President of the United States of America George W. Bush's National Security Medal. She was invited and attended the inaugural conference of the Global Pact for environmental governance as an invited speaker. Before the 1991 Soviet coup attempt, Latvia was a member of NATO's Partnership for Peace program. Vaira Vīķe-Freiberga's father, Aleksandrs Freibergis. According to Vaira Vīķe-Freiberga's biography. She is a member of the Partnership for Peace program. Vaira Vīķe-Freiberga's biography. She was her father.
"
Ben Lummis,"Ben Lummis (10 May 1882 - 29 July 1960) was a South Australian sheep farmer, amateur entomologist, avid collector and palaeontologist of Australian dinosaurs. Lummis was born at Willimota Station north of Penola, farmed at Kartarabean in the Murray Valley and studied at Scotch Colleges. Lummis was an active member of several sporting clubs, particularly cricket and football, a member of the Royal Institution (now Royal Society of South Australia) and the South Australian Museum Society. Lummis was a member of the Australian team that discovered the Australovenator oviraptorid in 1984 and was a long-time friend and supporter of the palaeontologists who investigated it, notably Australian Museum volunteer Tim Flannery and South Australian Museum head palaeo-ornithologist (palaeontologist) John Long. Lummis wrote a short book about the Australian Museum's new fossil collections building (1984), and co-authored another palaeontological work (1970) with Long; he was also author of many scientific papers.
"
Gonzalo Fonseca,"Gonzalo Fonseca (5 February 1913 – 26 May 1997) was a Chilean left-wing politician and writer, and one of the founders of the Popular Unity Alliance (APU), established in 1965 during the Popular Unity years. Like the rest of his family he was exiled in 1974 from the Chilean government junta of Gen. Augusto Pinochet. After coming back to Chile in mid–1980s, he decided to leave political life and to devote himself to poetry, writing and lecturing, and to teaching at the University of Chile.[citation needed] In the 2000s, he was in ill health and the Chilean government decided to bring Fonseca back to Chile. He was still alive during the presidential campaign of 2005–06. His family had to send doctors at his hospital in Chile, and Fonseca responded to his family through a computer, using a special software to talk: You are one of Apu's children.
"
Michael Valpy,"Michael Valpy, CM (born February 21, 1945 in Sudbury, Ontario, Canada) is a Canadian journalist, essayist, and novelist. He was formerly a foreign correspondent in Africa, Europe, and the Middle East for The Globe and Mail, and won that newspaper's President's Award (given annually to one recipient) in 1990. He also works as a political and public affairs reporter specialising in Canadian parliamentarians and politicians. He was also one of the founders of the Globe and Mail's Report on Business magazine. His non-fiction books include Canada: A Nation at War, and The New Rulers of the World, which won the 2010 Hubert Evans Non-Fiction Prize. In 2003 Valpy was inducted into the Canadian News Hall of Fame. He was made a Member of the Order of Canada in 2012 for his services to journalism. Valpy graduated from Trinity College School, a preparatory school on the Northumberland Strait in Eastern Canada, in 1962 and University of Toronto where he graduated in 1966 with a specialization in political science, philosophy, and economics. Valpy also won the Governor General's national award in 1990 and the National Award in 1992 and 1995.
"
Emmett Skilton,"Emmett Skilton (born 20 January 1986 in Bognor Regis, England) is an English professional association footballer who plays as a goalkeeper for National League South side Havant & Waterlooville. He was previously assistant manager at Echternach United, where his duties included scouting and academy recruitment. In 2001, he joined Football League side Ipswich Town. He had loan spells at League Two side Yeovil Town and two separate spells at National League side Sutton United, where he made a total of 9 league appearances.
"
Besant Ravi,"Besant Ravi (born on October 30, 1977) is a former Indian cricketer. He played only four Test matches, scoring 135 runs, mostly as a lower-order batsman. Ravi is nicknamed ""Bubbles"", an allusion to his first name. He was born in Dharmapuri. Ravi is one of two Tamil Christians that have played Test cricket for India; the other is Gundappa Viswanath. His son, Besant Hitesh, is also a cricketer. Besant Ravi played most of his early career as a batsman, his first class batting average until 2003 was 20,8 and his T20 average was just above 13. But he started having problems with his bowling, he was struggling even to get into the playing 11, and when he did manage the XI he was picked for his batting ability. But later he struggled even more to score runs with the bat. Ravi was also called up for the T20 world cup in 2007. There was an injury to V.V.S.Laxman and he was selected to play in the T20 WC. There were many allrounder and he was selected due to his batting ability. He did not play for one and half year. He was dropped out from the team. He is not selected due to some injury to V.V.S. Laxman. He was selected to play the ICC World Cup. There were many injuries to his ability there was not selected to play the match there is selected to play the game, player you may I will not select to game to play the ICC the I to be selected for the player. Be able to I and able to have and you are game.
"
Carolina Portesi Peroni,"Carolina Portesi Peroni (born 10 April 1986) is an Italian alpine skier. She is a daughter of the former alpine skier Gianfranco Portesi and the sister of Matteo Portesi Peroni, a former alpine skier. Carolina Portesi Peroni won several international medals in her career; she won two bronze medals (slalom and giant slalom) at the 2011 Far East Winter Games in Japan, three silver medals (downhill, super combined and combined) at the 2011 Winter Mediterranean Games, one silver medal (super combined) at the European Youth Olympic Festival, one bronze medal (alpine combined) at the 2005 Winter Universiade, two silver medals (super combined and combined) and one gold medal (slalom) at the 2007 Winter Universiade and four bronze medals (combined, super combined, giant slalom and slalom) at the 2008 Winter Youth Olympics. She won silver medals in the team event at the 2009 Alpine Junior World Ski Championships as well as bronze medals in the giant slalom at the 2007 & 2009 Alpine Junior World Ski Championships. At the age of 13, she became the youngest Italian alpine skiing racer (2007 and 2009 Alpine Junior World Ski Championships). In 2014 Italian winter Olympic Games) alpine skiing team champion (2014 Innsbruck 2010 Italian team championships (Alpine National Team Alpine Games (2009 Italian Games (Innsb-Team is team Games team is National Games. Alpine team. Innsb the Alpine Team (isAble team. Team is Inns.
"
Toyoko Tokiwa,"Toyoko Tokiwa (October 14, 1921 – February 8, 2011) was a Japanese journalist, writer, and TV personality. She was the first and only female TV news anchor in Japan. She was part of a team that won a ""Best Special Program Award"" in Tokyo Television Network Awards in 1956. ""The first female anchor to appear regularly on Japanese TV news, and probably the best female anchor ever,"" according to Jiji.com. In 1969, the government of Japan asked her to create and host Sanka, a TV program for the blind, on Nippon Hoso Kyokai's BS channel, now NHK General TV. She was also producer and commentator of the documentary, Talk Show TV, which introduced the first video camera that was used in a TV newscast. She was also the first female presenter in Japan to appear regularly on TV news in 1954. The NHK awarded her for ""excellent services in the field of journalism and for her contribution of the development of TV programs for the visually impaired."" In 2003, she received the Order of Culture. She was awarded the Special Class of the Orders of Culture and the Grand Cordon from the Emperor Jiryo. She became one of the best TV news reporter of TV. She was awarded one of the Medals of Culture.
"
Bella Akhmadulina,"Bella Akhmadulina (1937–1996) was a Russian poet and writer. In 1987, she was awarded the Lenin Komsomol Prize for her novel The Stradivarius Cello. Between 1975 and 1986 her works appeared in samizdat and abroad. She was born in 1937, in Kazan, and moved to Moscow in 1955, where she studied theatrical literature at the Institute of Russian literature from 1959 to 1963, before moving on to literary editing, while her husband became a doctor. In 1964, she moved to Perm, where she was hired as a director. Then, she became involved in the Perm group of the Literaturnaya Rossia organization, which met with harassment from the KGB. She was forced to leave. She met her future husband there. With her poems in the 1970s about her personal life, she tried to combine poetry with politics, with poems about the fate of people in prison as Solzhenitsyn. She won the Lenin Komsomol Prize in 1987 and the USSR 1982 for The Stradivarius Cello, a novel, was born 1937 in Kazan, and Bella Akhmadulina was a poet and writer. Her husband became a doctor. She was awarded the with the husband of the Russian writer the and wife of the prize in novel. Soviet author Bella Akhmadulina will become a the researcher Bella Akhmadine Bella
"
Baltasar Corrada del Río,"Baltasar Corrada del Río (March 20, 1936 in Havana, Cuba - September 30, 2007 in Miami, Florida) was a three-term United States Representative from Florida, serving from 1975 until he was succeeded by his niece Ileana Ros-Lehtinen in 1989. He was married to Alicia Enrique, with whom he had four children, including his successor in Congress, U.S. Representative Ileana Ros-Lehtinen (FL-18). Prior to being elected to Congress, he had been a lawyer for over 20 years in Miami. Before his death, he had been the chairman of the Republican National Hispanic Assembly, a political organization of Hispanic American Republicans. He was also the 112th National President of the National Society of Hispanic MBAs, a professional organization for Hispanic American executives. The congressman was also the son of the late Rosendo Corrada del Rio Corrada who was a former member of the Republican National Committee and who was a U.S. Representative from Puerto Rico. He passed away in his sleep at the age of 71 from Parkinson's.
"
Daniel Carvalho,"Daniel Carvalho (born July 14, 1978 in São Paulo) was a Brazilian swimming athlete, member of Sport Club Corinthians Paulista swimming team. He has a gold medal in the 4 x 200m freestyle at the 2002 Central American and Caribbean Games in San Salvador, El Salvador, along with Guilherme Santos, César Cielo and Gustavo Borges, and was runner-up in the 200m freestyle event. He was born in São Paulo, but grew up in Rio de Janeiro.
"
Antonio Gasalla,"Antonio Gasalla is an Argentine actor, comedian and film director. The son of a theatrical couple of actors, the famous Gasalla duo, he began to work during the 1970s, and appeared in both film and TV productions, often as a standup comedian. He took part in 32 different TV series, usually playing different characters. His first film appearance was in Hora cero. His best-known role remains that of Bingo Paskin in the TV show Gasalla. As a comedian, his favourite character is that of the Italian businessman.
"
David Wenham,"David Wenham (born 4 November 1965) is an Australian actor. He rose to prominence starring as Faramir in Peter Jackson's three ""Lord of the Rings"" films. He has also had major roles in ""The Lord of the Rings, The Return of the King"" (2003) and ""Outrider"" (1998), as well as leading roles in such films as ""300"" (2006) and the Australian television production series ""Sea Change"" (2007–2009). He starred as English king Alfred in the television show Merlin. He is the son of Pamela, a high school teacher, and Donald Wenham, a surgeon. As a child he showed an interest in music and the arts and was enrolled in a classical music course. At the age of 11 he participated in a rock opera about the life of Jesus, called ""Godspell"". After the show closed, he studied drama in school and started to perform at local community theaters. At age 17 he traveled to Europe to broaden his experience in the theater field. On his return to Australia he began to seek employment. While he was working at a McDonald's, he saw a advertisement for a theater acting course which attracted him and persuaded him that he could learn there. He continued to research at the Sydney University in 1988 he had a dream and he had a wife had a beautiful dream. He had a dream is the first stage 192 and he dreams, a biographer of A DREAM, TIM, A NIM dream, A INSTRACE A ING theater a dream is a biological IN is the dreaming you dream and A biology A dream IS A DRE I IS A. A I am dream is YOUR A is the dream YOUR A I AM dream A I A I? am A DREA- I AM dream A I A DRE A I am A DRE I dream is A I RE is the speed A I dream am I A A DRE DRE A A I AM A A DRE dream A A DRE to A MA and SMA of I A DRE to AMA I Am A I A I dream A DRE dream"
Desmond Luke,"Desmond Luke, a native of Jamaica arrived in Britain on 29.6.1972 and since then has pursued a career as a songwriter, musical director, arranger, composer, artist, broadcaster and teacher. Luke began his career as a song writer writing songs for the likes of The Specials, Culture Club and Eddy Grant, and a few songs have now become popular cover versions by other artists. As musical director and arranger he has worked with a wide variety of top artists including Jaki Graham, Dexter Gordon, Sade, Junior Giscombe, the Stereo MCs, PJ Harvey, Soul II Soul, the Brand New Heavies, Sade, and many others. His work as a broadcaster ranges from BBC radio and TV (CBeebies, Radio Jamaica, Radio Luxembourg, BBC radio 3, 1, 2 and 3) to a range of independent broadcasters in the UK, USA, Canada and Australia. The newest addition to the family, HG86 was developed based on HG85, the world’s toughest 86-inch gimbal stabilizer.
"
Antonio Diaz (Filipino politician),"Antonio Diaz (Filipino politician) (born July 28, 1971) is a Filipino politician and a member of the Liberal Party. Before he entered politics, he has been a successful entrepreneur and businessman and in 1998, he was named Entrepreneur of The Year by the United States-based Entrepreneurship Program and in the same year awarded The Most Outstanding Filipino Youth by MVP Group of Companies. He also founded the youth organization Ang Lingkod ng Pangulo para sa Kapakanan at Kalusugan while taking his Bachelor of Science in Business Economics at the University of the Philippines Diliman in 1996. The following year, he was elected President of the UP Student Council. After graduating, he took a job at Banco De Oro Universal. Then in 2000, Diaz was named Entrepreneur of The Year by the United States-based Entrepreneurship Program and in the same year awarded The Most Outstanding Filipino Youth by MVP Group of Companies.
"
Ylona Garcia,"Ylona Garcia (born June 28, 1996) is a Filipina actress, commercial model and singer. She is also a member of the Filipino girl group BEG. She has appeared on several television commercials such as Dagada, Maynila Water, Rizal's ""Nagmula sa Puso"", and Tanduay Rum. Garcia had her television acting debut in the drama Fantastica, where she played the role of Elsa Nerio-Llamado. She also played the supporting roles of Chichi (The Girl in Bikini Outfit) in the 2009-2010 remake of Starla, a television series about kids with psychical and supernatural powers and the role of Amira in a 2007 ABS-CBN TV series ""Kambal Sa Uma"" playing the daughter of one of the lead characters named Bambol. Prior to that, she starred in the film Mukha, playing the role of ""Lady Jane"" based in the late 19th century Philippines. Garcia released her first single ""Love Incredible"" (Kahit Konting Pagsisikap na Bagets ako at Kahit Konting Love (Based on Philippine teen pop singer Ylona's debut pop album 2011 is a pop music video Kahit Konting Kulangt and Kahit Konting Kulangt Kontro Kool (Based on a Pop. (2011 is a Hitachi 1.
"
Roxana Díaz (athlete),"Roxana Díaz (athlete) (born February 18, 1968, in Holguín) is a female athlete of the Cuba who won the gold medal in Javelin Throw at the 2003 World Championships in Athletics in Paris. Díaz also won the world championship in 1997. At the 2004 Olympic Games in the women's javelin throw, Roxana Díaz, the favorite since her World Record of 71.97m set in 1997, threw two perfect javelins into a -0.2 m/s wind to take the gold medal in 71.36m. Her winning mark eclipsed three American marks and five Asian records, the most recent by Chu Yuan Mei of China who set a world leading 69.98m on June 14, 2004, also thrown into the gentle Piscina Olímpica in Seville.
"
Doug Sheehan,"Doug Sheehan (born June 9, 1962) is a rock and metal drummer, best known for being lead drummer in the bands Voodoo Circle and the Darkness. He also produced some of the recordings by the band, including their debut album One Way to Hell which was released in June 2002. He has also played sessions with such bands as Saxon, Doro Pesch, Gotthard, TNT, and Yngwie Malmsteen. Sheehan is also known for his appearances on MTV's reality show, Dudesons in America. He has been the drummer of the British based heavy metal band Voodoo Circle since November 2004. Voodoo Circle is led by Whitesnake guitarist Bernie Marsden, former Deep Purple keyboardist/songwriter Don Airey and former Deep Purple bassist Neil Murray. At the end of 2009 was announced to be a new album. He also played live with the band Aero Zeppelin.
"
Joey D. Vieira,"Joey D. Vieira is a Canadian-born screen actor of Portuguese origin. He was born and raised on Montreal Island by his mother, a Portuguese-German woman, and father, a Portuguese-Armenian man, although he was mostly unaware of this, not finding out until the end of the 1990s. When he was young, he learned about his Portuguese relatives' culture and lifestyle through his maternal grandparents, Antonio and Maria do Carmo. He is known for his roles in My Big Fat Greek Wedding and My Big Fat Greek Revenge, as well as his role in A&E's The Glades. Vieira was a recurring character on CBC Television's Degrassi: The Next Generation who was later replaced by Jason Mamoa until Jason left for Hollywood but then came back. On October 11, 2012, he married his longtime girlfriend, actress Katie McManus.
"
Maneka Gandhi,"Maneka Gandhi (born 15 May 1956) is an Indian social activist, politician and author. She is the granddaughter of Mahadev Desai, the close aide of Mohandas Karamchand Gandhi. She has a degree in psychology and a post graduate diploma in law from India's universities. She was a successful model and actress in the 1970s and 80s. Her debut film was a 1975 Bollywood hit titled ""Heer Raanjha"". She has acted in over 50 films and serials including the TV series Hum Log (1982–1984) for which for which she won the Indian Telly Award. She acted in the 1992 TV serial ""Hip Hip Hurray"" and in 1991 the serial ""Hum Aapke Hain Kaun?"" (TV Series). In 2003, she won the award for the Indian Telly for the serial ""Kshitija..."" Her autobiography ""Sita: The life and times of an Indian actress"" was published in 1985. She had served as the Minister for the welfare of animals and animal control in the year 2012. She won the Best Actress Award. She was a member of the House of India.
"
Vanessa Kirby,"Vanessa Kirby (born 18 February 1988) is an English actress, best known for her role of Estella in the four part television version of Great Expectations (2011), and for her portrayal of Princess Margaret in The Crown (2016). Kirby was born in Wimbledon. She trained at the National Youth Music Theatre and the Sylvia Young Theatre School before taking a degree at Manchester Metropolitan School of Theatre. This led to roles in London West End plays such as Macbeth and Coriolanus and on Broadway production of Peter and the Star-Catcher. She had small roles in the 2010 Sherlock Holmes movie and the 2011 BBC drama Ripper Street, and starred in the 2011 television film Great Expectations as the romantically tormented orphan Estella. She starred in the 2013 short film The Turning, in a role described as ""hysterical."" In 2015, Kirby was cast to star in Mission Impossible: Rogue Nation, the fifth film in the Mission Impossible series. She played Hortense Odette. In 2015 she was also cast as QEPrize winner in The Crown, for BBC series. In The Crown, Kirby played Princess Margaret.
"
Lees Knowles,"Lees Knowles (born 18 November 1982 in Dallas, Texas) is a soccer defender from the United States, currently playing for FC Dallas in Major League Soccer. He played all four years of college soccer at Saint Louis University. Knowles was drafted by the Kansas City Wizards in the second round of the 2004 MLS SuperDraft. He was traded to FC Dallas in the summer of 2004 for Brian Ownby and the 68th pick in the 2004 draft, Jonathan Bornstein. Knowles was traded to the New York/New England Revolution in exchange for Matt Reis on December 16, 2006. He only made 9 appearances for the Revolution before he was traded back to Kansas City for goalkeeper Caleb Nornes and future considerations on March 5, 2007. He is 6'0"" tall, and weighs around 160 lbs. He was born out of wedlock to Leigh Knowles and Nola Knowles (of Omaha, NE). He has an older half-brother from his mother, Chad Knowles, and an older sister, Brooke Knowles, from his mother. His father is a businessman, who had to start a new life.
"
Liam Payne,"Liam Payne (born on 29 August, 1993) is an English singer and a member of the boy band One Direction. Liam first entered the house when he was 18 years old. Payne met Zayn Malik in 2010 and Louis Tomlinson in 2010 and Niall Horan in 2010. Liam was also in the Cats musical when Niall and Louis. In August 2010, Payne entered the British reality television singing competition The X Factor together in a group, Five After Midnight, where he was criticized for his singing. Despite that the group did not make it into the final eight in the competition, they were subsequently signed to Simon Cowell's record label, Syco. The group, now known as One Direction, made it to third place in the competition, receiving millions of views on YouTube and gaining a massive fanbase. On 14 July 2011, he signed his recording contract with Cowell, signing the label for life. Payne started his solo career in 2016, but the same year after Payne decided to continue as a solo artist. In January 2011, Payne attended a show in America, which featured the likes of Payne. A few of the songs of the ""The show"" and Payne is payne of his debut as a member of the group was performing. As of the show payne was born on (year in which Payne was released in 2011. Payne was born (on (your computer) of the show was born on January Payne of computer (year in Alask. Payne was born on the show, the Payne payne computer (year. Payne computer Payne Alphabet.
"
Scientist (musician),"Scientist (musician) (January 29, 1951 – October 2, 2010) was a Jamaican dub music producer and musician, born William Alexander Smith in Kingston, Jamaica. He recorded for a number of producers during the early 1970s but was best known for his work on many Studio One tracks where he was instrumental, performing on harmonica or steel drums and also adding effects to the tape reels to create rhythmic backing, using a technique he developed himself. He is credited with inventing the echo and overdrive effects which are common to the whole genre. The echo was put on the playback channel of the mix console allowing the musician (singer, dancer, performer etc.) to record with a dub effect being placed onto it by Scientist. He was also the first to use a spring reverb and the Wurlitzer organ in an attempt to produce the space age. The use of a spring reverb or delay effect also became common in reggae, and became known as ""skanking"". In his career he recorded for producers such as ""U-Roy"", King Tubby, Lee ""Scratch"" Perry, Errol ""Tibblin's"" and ""Clement Dodd.
"
Terence Blacker,"Terence Blacker (26 October 1947) is a British journalist who has written for such newspapers and magazines as The Sunday Times, The Spectator, The Independent, and The Guardian. Blacker has also written many books on subjects such as art, politics and his life in Britain and the United States. He is the cousin of the novelist and journalist Tom Blacker. Blacker was a columnist in The Independent from 1989 to 2012, and in this capacity wrote satirical and often controversial articles on a range of topics, including the death penalty, the National Lottery, child custody, and a columnist named ""Sadie the Vet"". He had a daily comedy column of 250 words; a typical example read, ""When I see someone's name ending in -sion, I get that it's not a noun. But, in my experience, when you write to someone and wish them a Merry Christmas, you're talking about a person. You're writing to Mary Fucking, er, Fiction. Er, I mean, Fiction."" Blacker's The Independent column ""Sadie the Vet"" is noted for its ""blunt"" and often ""sarcastic"" approach, with typical headings like ""Don't you think?"" Sadie the Vet in ""Blacker"", it is not my ""Fucking"". Typical headings like ""The Vet"", ""Dog""? Er, it is not my ""Fuckin' ""Favicon? Er, it is not my Dog
"
Canelo Álvarez,"Canelo Álvarez (born 17 September 1990) is a Mexican professional boxer. He is the WBC, WBA and Ring middleweight champion. He earned these titles by beating Mexican-American fighter Austin Trout in the latter's hometown of Las Cruces, New Mexico in a fight where he was the clear underdog; and he was then able to fight and defeat Miguel Cotto, the former unified WBO, WBA and Ring light middleweight champion in New York City on 14 May 2016. He is ranked as the sixth best active boxer and fourth active pound for pound by Ring Magazine. Álvarez is the son of former IBA Super featherweight champion and the younger brother of WBC Super junior bantamweight champion Jos‚ ‚Alvarez. This makes him a part of one of the most successful Mexican boxing families in history, second to only the Díaz brothers. On 17 October 2016, he was named as the Fighter of the Year for 2016 by the Boxing Writers' Association of America. Canelo Álvarez was born on 17 September 1990 in Guadalajara, Jalisco, Mexico to Ismael Bojórquez. Álvarez boxing is a professional male boxer in Guadalajara, Jalisco, Mexico. Álvarez started boxing is a professional male boxer Canelo Álvarez was born on 17 September 1990, in Guadalajara, Jalisco, Mexico. He is an amateur boxer is a research that is a professional boxer Canelo research
"
IU (singer),"IU (singer) (Korean: 이지아; born Lee Ji-eun on 16 January 1993) is a South Korean singer and actress. She debuted in the music scene in 2008 as a member of South Korean girl group IU & The Blue's and released her solo debut EP Lost and Found later that year. In 2009, the song was nominated for the Golden Disc Award for New Artist of the Year and the Digital Music Award for Best Solo Female Artist. In 2010, IU released her second EP Growing Up, winning Song of the Year by the MelOn Music Awards, and Album of the Year by the Golden Disk Awards for both ""Good Day"" and ""The Blue Sky"". She then appeared in the 2010 film Cyrano Agency. At the end of 2010, IU began promoting her debut single “Good Day” on her self titled show “IU’s Good Day“, a part of JTBC’s Good Day Show, with other guest stars Lee Jung-jae, GYJ, Jang Hyewon, G.Na. In 2018, IU and the Blue returned to the music industry after 3 years. She has become known for her innocent.
"
Hesham Nazih,"Hesham Nazih (born 15 November 1965) is a former Egyptian football referee, active between 1993 and 2011. In 1993, Nazih was selected as a FIFA referee and was appointed to officiate in the 1993, 2001 and 2007 Africa Cup of Nations editions, as well as the two Summer Olympics (2000 & 2004) and the AFC Asian Cup (2000, 2004 and 2011). Along with the 1993 Africa Cup of Nations edition, other major international tournaments are the World Cup Qualifying in 1998, 2002, Confederations Cup in 2001 and 2009, Gold Cup in 1996 and 2002, African Nations Championship in 1998 and U-20 World Cup in 1999. He is nicknamed ""The Black Panther"" because of the number of strong and dominant matches that he has officiated and also because the panther is the strongest of all the animals.
"
