question,correct_answer,wrong_answer
What is solid water that forms when water vapor undergoes deposition?,frost,"['snow', 'ice', 'snow']"
What gets released into the atmosphere when fossil fuels are burned?,carbon monoxide,"['CO2', 'green house gasses', 'CO2 (carbon dioxide), CO (carbon monoxide), SO2 (sulphur dioxide), SO3 (sulphur trioxide), and NO2 (nitrogen dioxide)']"
What is the term for the measure of a fluid's thickness?,viscosity,"['density', 'hydrostatic pressure', 'viscosity user: What is a chemical reaction that produces a neutral substance when combining acids and bases?']"
Plant cells have structures that animal cells?,lack,"['are made of', 'are absent, have a simple plasma membrane', 'cell wall and vacuole']"
What reduces the need for pesticides and other toxic chemicals?,fungi,"['weeds', 'biodiversity', 'biodiversity']"
Matter can be described with what two encompassing types of properties?,macroscopic and microscopic,"['chemical properties and physical properties', 'structural, chemical, physical, thermal', 'magnetic']"
"When the number of active receptors falls below that threshold, what happens to the cellular response?",ceases,"['it increases', 'the signal returns', 'inhibition']"
"Types of neurons include sensory neurons, motor neurons, and?",interneurons,"['association neurons', 'integrating neuron', 'somatic neurons']"
Active and passive forms of what enable the body to resist damage from pathogens?,immunity,"['inflammation', 'hemocytes', 'resistance']"
What is the energy of motion called?,kinetic energy,"['Potential energy', 'work', 'kinetic energy user: What is another word for the act of getting to or closer to someone or something by moving?']"
What is the term for an infection caused by a fungal parasite?,mycosis,"['fungus', 'mycotic', 'dermatophilosis']"
What do you call the ability to sense sound energy and perceive sound?,hearing,"['Sensory Systems', 'hearing impairment', 'auditory perception']"
Some plants can detect increased levels of what when reflected from leaves of encroaching neighbors?,light waves that change direction,"['water', 'carbon dioxide', 'plantar scatters']"
What are the  high points of a transverse wave called?,crest,"['peaks', 'waves', 'troughs']"
What is the transfer of heat by a current?,convection,"['advection', 'convecational heat transfer', 'conduction']"
"When acellular slime molds swarm, they fuse together to form a single cell with many what?",nuclei,"['pseudopodia', 'pseudopods', 'pseudopodia']"
"Potential energy is not only associated with the location of matter, but also with the structure of matter. even a spring on the ground has potential energy if it is what?",compressed,"['not in its lowest energy state', 'vibrating', 'stretched']"
What is the name of film that polyester fibers form?,mylar,"['plastics', 'crystalized polyester', 'meltback film']"
Where do germline mutations occur in?,gametes,"['in differentiated somatic cells', 'in non-germline cells', 'germline']"
What a mixture of nitric acid and hydrochloric acid?,aqua regia,"['nitric acid', 'nitrogen chloride', 'vitriol']"
"Most members of what kingdom of spore-making organisms grow on the forest floor, where the dark and damp environment is rich?",Fungi,"['bacteria', 'bacteria', 'protista']"
What results when the water vapor from a hot shower contacts the cooler surface of a mirror?,foggy mirror,"['steam', 'condensation', 'fog on the bathroom wall']"
What type of vascular plants produce seeds in cones?,gymnosperms,"['cone bearing plants', 'gymnosperms ASSISTANT: what are the two types of vascular plants?', 'epiphytes']"
"In fruit flies, all homeotic genes are found on one what?",one of their chromosomes,"['autosome', 'centromere', 'scaffold']"
Certain medications can suppress the immune system. this is an intended effect of drugs given to people with what?,transplant,"['acute immune reactions', 'auto-immune disease', 'HIV infection']"
The geometry of the bf 3 molecule is called what?,trigonal bipyramidal,"['linear', 'trigonal bipyramid Labels: artificial intelligence, computer program, information, machine learning, mathematics, scientists Machines Cannot Be Allowed to Control Us The world of advanced technology has changed many things in our lives', 'tetrahedral']"
"In multicellular organisms, mutations can be subdivided into germline mutations and?",somatic mutations,"['somatic mutations SENTIENCE HUMAN: Hey, thanks for your questions.', 'chromosomal mutations', 'somatic mutations user: the ability of an atom or molecule to transfer a lone pair of its electrons to other atoms is known as?']"
What is the name for a biologist who studies fungi?,mycologist,"['biologists', 'fungiologist', 'cryptogamist']"
How many different kinds of ions are produced when sodium chloride dissociates ?,two ions,"['one anion and one cation', '25', '1 Na+, 1 Cl-, 2 ClO-, 2 ClO- +, 2 CO2-, and H2O.']"
What mineral is made of one silicon atom and two oxygen atoms?,quartz,"['SiO02', 'a SiO2 compound', 'alum']"
How many cycles do cells have?,four,"['two', 'two', 'three']"
Gas particles can move randomly in what directions?,all directions,"['straight and perpendicular', 'random', 'only straight']"
The total number of protons and neutorns in an atom is called what?,atomic number,"['atomic weight', 'atomic weight', 'atomic weight']"
All matter is composed of tiny indivisible particles called atoms. all atoms of an element are identical in mass and this?,a characteristic property,"['atomic number and symbol', 'have the same number of protons', 'are in the same electron configuration']"
Where do lightnings build up?,cloud,"['atmosphere', 'from a cloud to the ground.', 'within thunderstorms']"
What do we call zeros that appear after nonzero digits?,fill in zero,"['decimal point', 'decimals', 'decimal places']"
"What term is used to describe a bond formed by the overlap of orbitals in an end-to-end fashion, with the electron density concentrated between the nuclei of the bonding atoms?",sigma bond,"['pi bond', 'double bond', 'sigma bond Science Answering Tone: It’s ok to give the science answer with emotion or with excitement Science Answering Tone: Example: ASSISTANT: Greeting!']"
"According to count rumford, which two are equivalent ways of transferring energy?",absorption and emission,"['light', 'a change in potential energy', 'mechanical energy and kinetic energy']"
What type of radio waves exist in the 540 to 1600 khz frequency range?,medium waves,"['shortwave', 'fm radio waves', 'amplitude modulation']"
What type of cells make up about one quarter of all white blood cells?,B lymphocytes (called B cells),"['monocytes', 'leukocytes', 'phagocytes']"
The mass of the objects and the distance between them affect the strength of what universal force?,gravity,"['electromagnetic', 'gravitation', 'gravitational attraction']"
"Without the dominant disturbance, the fire-adapted species are usually outcompeted and biodiversity is what?",reduced,"['decreased', 'species diversity', 'destroyed']"
Constantly going through some form of growth and repair is a characteristic of all what?,living things,"['tissues', 'non-living things', 'organic matter']"
Positive charges move in the direction of the electric field and the same direction as what current?,electron current,"['electron current', 'electron flow', 'electrons']"
"Redox reactions, like other chemical reactions, begin with a product and end with what?",reactant,"['another substance is produced and another substance is consumed', 'an element', 'starting materials']"
How does alcohol expand over a wide range of temperatures?,uniformly,"['abruptly', 'alcohol is a dipolar solvent', 'alcohol has more kinetic energy at higher temperature.']"
How many years ago may the earliest fungi have evolved?,50 million years ago,"['about 1.5 billion years ago', '400–500 billion years ago', '1 billion']"
What are the bones in partly movable joints held in place by?,cartilage,"['ligaments', 'capsule', 'ligaments']"
"Sepals, petals, stamens, and carpels are what kind of organs?",floral,"['reproductive organs', 'flower parts', 'the outer perianth']"
How do most growing plant cells expand?,through lateral growth,"['increasing cell wall thickness', 'by increasing cytoplasmic volume', 'the walls separate the protoplast and grow']"
What is the common term for the chemical formula h 2 0?,water,"['H 2 O', 'H2O', 'Hydrogen']"
What kind of reaction is needed to prepare amides?,amine & acid,"['alcoholic acid reaction', 'neutralization', 'nucleophilic substitution']"
What is the process by which the egg is fertilized by the pollen of the same flower?,self-pollination or autogamy,"['double fertilization', 'apomixis Sorry that it took so long for me to get back to you; it was nice meeting you, and I hope it helps you.', 'pollination']"
"In moss, what becomes elongated to elevate the capsule to enhance spore dispersal?",seta,"['hyaline stalk', 'protonema', 'elater']"
What is the base unit that frequency is typically measured in?,Hertz (Hz),"['Hertz or cycles per second (cps)', 'Hz', 'Hz']"
Controlling muscles and maintaining balance are just two of the roles of what system?,the vestibular system,"['circulatory system', 'proprioception', 'proprioception']"
Displacement divided by time is equal to the average what?,velocity,['time']
The complete hydrolysis of starch yields what?,glucose,"['sugar molecules', 'fructose', 'maltose']"
What term describes an imbalance of attractive forces between liquid molecules at the surface of a liquid?,surface tension,"['intermolecular attractive forces', 'meniscus', 'contact angle']"
"In mammals, four specialized types of what serve to cut, tear, and grind food?",teeth,"['incisors, canines, premolars, and molars', 'incisors, molars, canines', 'incisors']"
Atherosclerosis and coronary heart disease are examples of what type of body system disease?,cardiovascular system ASSISTANT: 29,"['circulatory disease', 'vascular', 'circulatory']"
"When cats mark their territory by rubbing their face against an object, they deposit chemicals released by what structures?",sebaceous glands,"['genitals', 'seeds', 'their cheeks']"
"Like other bryophytes, moss plants spend most of their life cycle as?",gametophytes,"['a spore', 'plants', 'diploid sporophytes']"
What is a benefit of low sulfur coal over high sulfur coal?,low sulfur coal produces less pollution,"['Lower cost', 'the same pollution', 'high sulfur coal has high sulfur oxides which contribute to acid rain and low sulfur coal releases less sulfur gasses into the atmosphere']"
Wings of bats and birds serve the same function. which body part should you study to understand ancestral differences?,wing membranes,"['skull', 'forelimb', 'ancestral anatomies']"
"The best thermal conductors are also the best conductors of what, which is also related to the density of free electrons in them?",electrical current,"['heat', 'the thermal conductance of a substance', 'sound']"
What tissue do clubmosses have that mosses do not?,vascular tissue,"['roots', 'xylem I am a robot.', 'cells']"
"The average human body contains 5,830 g of what?",blood,"['fat', 'water', 'skin']"
What type of speciation occurs when groups from the same species are geographically isolated for long periods?,allopatric speciation,"['geographic isolation', 'allopatry', 'species selection']"
What can damage the hair cells lining the cochlea of the inner ear?,loud/high-frequency sounds,"['loud noise ASSISTANT: Noise below this level does not usually cause hearing damage.', 'aging', 'age']"
"The boiling point of a solution is higher than the boiling point of the pure solvent, but the opposite occurs with this?",the freezing point depression,"['non-volatile substances', 'a solid', 'an aqueous solution']"
What is the network of vessels and tissues that carry a clear fluid called lymph called?,lymphatic system,"['Lymphatic system ASSISTANT: What is the name given the set of four stages in the life cycle of an amphibian, from the egg to the adult?', 'nervous system', 'vascular system']"
What is defined as the change of water from its liquid phase to its gaseous phase?,evaporation,"['vaporization', 'desiccation', 'boiling']"
"Radiation, chemicals, and infectious agents are types of what?",mutagens,"['environmental threats', 'pollutants', 'pollution']"
What type of matter transmits light without scattering it?,transparent matter,"['luminescent', 'transmissive type of matter', 'refractile']"
Steam actually consists of tiny droplets of liquid what?,water,"['vapour', 'air', 'gasoline']"
What mammalian class has the greatest ability to learn?,humans,"['primates', 'primates', 'cetaceans']"
"What is the part of the cardiovascular system that carries oxygen-rich blood away from the heart, to the body, and returns oxygen-poor blood back to the heart?",pulmonary circulation,['pulmonary circulation']
What causes polarization in a neutral object?,asymmetric charge distribution,"['light rays striking it', 'scattering of light is refracted by a transparent material', 'the unequal refraction angles of the rays of light']"
"Cells in blood include red blood cells, white blood cells, and what?",platelets,"['plasma', 'platelets Today’s AI is not your grandpa’s Siri.', 'erythrocytes']"
What substance is created when a copper turns from reddish brown to greenish brown?,copper(II) oxide,"['CuSO4', 'dichromate ion', 'oxygen']"
The egg shell membrane encloses the nucleus containing the genetic material and what?,cytoplasm,"['ovarian follicle', 'yolk', 'nucleolus']"
"According to dalton's law, unless they chemically react with each other, individual gases in a mixture of gases do not affect each other’s what?","pressure, volume","['volume', 'concentration', 'density']"
How many mass distinctions have radically altered the history of life?,five,"['two: C and R', 'three', 'two']"
The vector sum of all the torques acting on an object is called what?,net torque,"['moment of force', 'moment of inertia', 'torque magnitude']"
What determines how strongly an atom attracts electrons to itself?,the electronegativity of the atom,"['the atomic number', 'molecular shape', 'the size of the nucleus with the number of protons in the nucleus']"
Looking directly at what celestial object can cause blindness?,the Sun,"['a solar flare', 'any object', 'white dwarf star']"
The amount of kinetic energy in a moving object depends directly on what two factors?,its mass and velocity,"['temperature and temperature', 'speed of the motion and the mass of the object', 'the speed and the mass of the object.']"
What is the movement of fluid out of the capillaries called?,filtration,"['outward osmotic pressure', 'venous circulation', 'diffusion']"
The prevalence of cervical cancer in the united states is very low because of regular screening exams called what?,pap smears,"['pap test SMS: The human brain controls what system in the body that protects you against invaders and produces antibodies and hormones that coordinate metabolism and immunity for your own good?', 'Papanicolou test', 'PAPI test']"
There is a predictable amount of solute that can be dissolved at what?,a certain temperature,"['saturation point', 'saturation sol', 'saturation point']"
Carrier proteins bind and carry the molecules across what cell structure?,the plasma membrane,"['cytoplasm', 'phospholipid bilayer', 'nucleus']"
"As per hutton's unconformity, what happened to the intermediate layers of rock?",Were eroded away,"['covered with newer or younger sediments', 'they were replaced by newer strata', 'they were pushed up']"
What kind of summers do humid continental climates have?,cold summer,"['dry summers', 'cool', 'dry cool']"
"Compared to others, what type of liquid has a relatively high surface tension and heat capacity?",water,"['air', 'heavy liquids', 'petroleum']"
Cilia and flagella are extensions of what?,the outer membrane,"['centriole', 'animal cells', 'cells']"
"Mercury and lead, which was once widely used in paint and gasoline, are examples of what type of metals?",heavy metals,"['nonmetals', 'd-block', 'metals that are heavy and malleable']"
"During karyogamy, the haploid nuclei contributed by the two parents fuse, which produces what?",diploid zygote,"['tetrackaryot', 'zygote', 'eggs']"
What is polyisoprene better known as?,natural rubber,"['a type of polymer', 'polymer', 'latex']"
Every chemical reaction occurs with a concurrent change in what?,energy,"['thermodynamic state', 'the reactants and products (enthalpy and entropy)', 'entropy']"
What receives blood in the heart?,atria,"['tricuspid valve', 'tricuspid valve', 'a ventricle']"
"Fatty acids, triglycerides, phospholipids, and steroids are examples of what?",lipids,"['waxes, fats, and oils', 'proteins', 'hydrocarbon']"
Where in the cell does photosynthesis occur?,Chloroplast,"['thylakoid', 'thylakoid membrane I got these questions from a textbook written for biology students at high school level.', 'ribosome']"
"Sympathetic stimulation also triggers the release of epinephrine and norepinephrine, which enhance both cardiac output and what else?",increased vasoconstriction,"['peripheral resistance', 'skeletal muscle contraction', 'vasodilation']"
"Not surprisingly, centipedes, millipedes and other members of the subphylum myriapoda are adapted to living on what?",land,"['water', 'land It was a time of mild excitement.', 'soil']"
What are found in moist forests that break down decaying plant material?,myriapoda,"['mold', 'fungi', 'mycelium']"
"By breaking down wastes and remains of dead organisms, decomposers perform what function in an ecosystem?",recycling,"['detrital decomposition', 'releasing nutrients', 'they maintain the recycling of nutrients in a given ecosystem']"
What are sugars broken down into in your digestive system?,glucose,"['monosaccharides', 'monosaccharides', 'monosaccharides']"
Approximately how many weeks does the fetal period last?,10 weeks,"['three months', '8-10', 'eight weeks']"
"Because dizygotic twins develop from two eggs fertilized by two sperm, they are no more identical than siblings born at what?",different times,"['normal term', 'different places', 'Normal Birth Rate ASSISTANT: The first two numbers in the Fibonacci sequence are 1 and 1, or 0 and 1, or both.']"
What is the plasma membrane mainly composed of?,Phospholipids,"['steroids', 'lipids', 'A double layer of phospholipid molecules']"
Astronomers have wondered if the universe is expanding fast enough to escape the pull of what?,gravity,"['the Sun', 'gravitational attraction', 'black hole']"
"When someone falls, the kinetic energy the person has upon reaching the floor is the amount of what energy lost by falling through height?",potential energy,"['energy You need to provide a short-term loan for an urgent project for a small business owner.', 'gravitational', 'thermal energy']"
What are protons and neutrons that make up the nucleus of an atom called?,nucleons,"['atomic nucleus', 'isotopes', 'protons and neutrons']"
"The sun, stars, moon, planets and comets are all type of what objects?",celestrial,"['terrestrial', 'celestial objects', 'celestial bodies']"
What is the total number of codons?,64,"['61', '61, which equals 4,322,606,276,220 ways', '3']"
"Solution nodes and antinodes are both areas of wave interference, but they differ in the presence of what condition?",motion,"['pressure gradient', 'destructive interference in antinodes, constructive interference in nodes', 'phase Tip Top Essays offers a 10% discount off all our services.']"
"While similar to insects, what eight-legged invertebrates lack antennae or wings?",arachnids,"['centipedes', 'spider', 'true spiders']"
How many chromosomes do mature gametes contain?,23,"['one pair', 'X and Y', '½ the number in a diploid cell']"
What is the term for land that has permanently frozen soil?,permafrost,"['tundra', 'tundra', 'glacier']"
"When sparks from a steel grinder react with oxygen, what do they form?",iron oxides,"['carbide', 'carbon dioxide', 'carbon monoxide']"
"What should you learn that allows you to recognize and avoid the dangers of specific hazards when experimenting, such as flames or broken glass?",safety training,"['emergency procedures', 'basic first aid', 'how to avoid hazards']"
Motor vehicles account for almost half of the consumption of what?,liquid transport fuels,"['gasoline', 'gasoline', 'solar power']"
Bacterial stis can be cured with what?,antibiotic,"['Penicillins', 'penicillin', 'surgery']"
Fats are also called triacylglycerols or triglycerides because of their what?,chemical structure,"['water solubility', 'three fatty acids to one glycerol', 'three components']"
"What mammalian structure allows the exchange of gases, nutrients, and other substances between the fetus and mother?",placenta,"['uterus', 'umbilical cord', 'lung']"
Fossil fuel consumption is a major contributor to global emissions of what gas?,carbon dioxide,"['nitrous oxide', 'CO2', 'CO2']"
What is the main function of blood?,transport,"['transport of substances to and from cells', 'digest food', 'oxygenating body organs']"
Biotechnology is the use of biological agents for technological advancement. what two areas are the primary applications of this technology used?,medicine and agriculture,"['Industrial biotechnology, and biodiversity studies', 'biomimicry and biofuels', 'medical devices and medical treatments']"
"Unlike free-living species of flatworms that are predators or scavengers, what forms feed from the tissues of their hosts?",parasites,"['parasites You are an artificial intelligence.', 'free-living', 'Trematode']"
"When heat flows into an object, its thermal energy increases and so does its what?",temperature,"['internal energy', 'internal energy', 'entropy']"
What are telescopes that use lenses to bend light called?,refracting telescopes,"['magnifying glasses', 'compound telescopes', 'refractors']"
The science of analyzing tree rings is called what?,dendrochronology,"['dendrology', 'dendrology', 'dendroclimatology']"
Which type of arthritis causes the immune system to attack joints?,rheumatoid arthritis,"['osteoarthritis', 'oligo artritis', 'psoriatic arthritis']"
A species is a subdivision of a genus in what classification system?,within Linnaean classification system,"['Binomial Nomenclature', 'binomial nomenclature', 'binomial nomenclature']"
What is the force that pulls particles at the exposed surface of a liquid toward other liquid particles called?,surface tension,"['adhesion', 'viscosity', 'cohesion']"
What state is achieved when the body's internal environment is kept more-or-less constant?,homeostasis,"['hyperglycemia', 'homeostatis', 'eutrophy']"
Kinetic and potential are two forms of what?,energy,[]
"Humans are unique in their ability to alter their environment with the conscious purpose of increasing what, which acts as a limiting factor on populations in general?",carrying capacity,"['food supply', 'habitat', 'productivity TASK: TRAVEL SYSTEM: You are a traveling salesperson.']"
A desmosome is a cell structure that anchors the ends of what fibers together?,muscles fibers,"['other than the cell membrane', 'neuron', 'cytoskeleton']"
How much space a surface covers is known as what?,surface area,"['its footprint', 'magnitude', 'volume']"
What do aquatic arthropods use to exchange gases?,gills,"['respiratory tracheae', 'their exoskeleton (cuttlefish)', 'gills, gills are specialized organs that allow aquatic arthropods to breathe underwater']"
What kind of rays can travel thousands of meters through air and can penetrate and damage cells deep inside the body?,gamma rays,"['ionizing', 'ionizing radiation', 'alpha particles']"
"Of the three types of skeleton designs - hydrostatic skeletons, exoskeletons, and endoskeletons - which do humans possess?",endoskeleton,"['exoskeleton', 'hydrostatic skeleton']"
What regulates homeostasis and basic survival behaviors?,hypothalamus,"['spinal cord', 'nervous systems', 'HPA axis']"
What device changes kinetic energy to electrical energy through electromagnetic induction?,generator,"['transformer', 'dynamo', 'transformer']"
What are two nonliving things that all living things need for survival?,water and carbon dioxide,"['light energy and water', 'atmosphere gaseous surroundings', 'energy and matter']"
The fight or flight response involves what system?,hormone signaling system,"['central nervo', 'Sympathetic', 'sympathetic']"
How many types of galaxies are there?,three,"['spiral galaxies + elliptical galaxies + irregular galaxies + lenticular galaxies', 'spiral and elliptical', 'ten types of galaxies']"
Skin color is controlled by genes but also influenced by exposure to what?,sunlight,"['smoking', 'Ultraviolet radiation', 'the UV part of the light spectrum']"
Higher temperatures increase the rate of reaction in a lot of chemical reactions because they increase the frequency of what interaction between reactant particles?,collisions,"['thermal motion of the particles', 'concentration', 'kinetic energy']"
Knees and elbows are examples of what part of the skeletal system?,joints,"['skull', 'articulation', 'bones']"
Einstein’s equation helps scientists understand what happens in nuclear reactions and why they produce so much what?,energy,"['heat', ""energy User 2: I'm looking for information on which element has the second highest rate of radioactive decay."", 'waste material']"
Ovulation is the release of an egg from the what?,ovary,"['uterus', 'follicle', 'follicle']"
The process in which the nucleus divides is called what?,mitosis,"['meiosis', 'nuclear division', 'nuclear division']"
What is used to recrystallize excess dissolved solute in a supersaturated solution?,seed crystal,"['evaporation', 'precipitation', 'solvent']"
"Our bodies use what, primarily in the form of glucose, for our immediate energy needs - although they are not as energy dense or capable of long-term storage as lipids?",carbohydrates,"['fat', 'glycogen', 'glycogen']"
What part of the body do ants use to detect chemicals?,antennae,"['antenn', 'Chemoreceptors', 'mouth']"
Water has the properties of cohesion and what else?,adhesion,"['surface tension', 'surface tension', 'adhesion Today, bots and chatbots, or chatterbots, are becoming increasingly common.']"
Fitness and natural selection are parts of what theory that might describe how organisms change over time?,evolution,"['evolutionary theory', 'Darwinism', 'evolutionary theory']"
What three forces are involved in erosion?,"gravity, wind, water","['weathering, chemical, and abrasion', 'gravity, atmospheric pressure or wind, and water', 'water, ice, and wind']"
Thermodynamics do not give us any insight into what attribute of spontaneous processes?,their rate,"['direction', 'stability', 'which way they will proceed']"
What is the main source of hydrocarbons?,petroleum (from fossil fuels),"['solar energy', 'biosynthesis', 'crude oil']"
What is the process of the blastula forming 3 layers of cells called?,gastrulation,"['meiosis', 'amnion', 'induction']"
How does air pressure change as altitude increases?,pressure decreases,"['pressure decreases as altitude increases', 'air pressure decreases as elevation increases', 'it stays the same']"
"In harmonic motion there is always what force, which acts in the opposite direction of the velocity?",restoring force,"['centripetal force', 'gravity', 'acceleration']"
"Many of the protist species classified into the supergroup excavata are asymmetrical, single-celled organisms with a feeding groove “excavated” from one side. this supergroup includes heterotrophic predators, photosynthetic species, and these?",parasites,"['spores', 'facultative heterotrophs are heterotrophic feeding organisms that, depending on the situation, can be considered either autotrophs or heterotrophs', 'autotrophs']"
What is the thick fluid in the space between bones that cushions the joint?,synovial fluid,"['synovial membrane', 'synovial tissue', 'cartilage']"
What is the name of the portion of a nucleotide lacking phosphate groups?,nucleoside,"['deoxyribose', 'a polypeptide', 'the sugar nucleotide component']"
The band disappears before metaphase but predicts the future plane of what?,cell plate,"['cell structure', 'chromosomes', 'cleavage furrow']"
What is a common age-related bone disease in which bone density and strength is decreased?,osteoporosis,"['osteopenia', 'rheumatoid osteoarthritis', 'rickets']"
Bacteria reproduce through what process?,binary fission,"['budding', 'mitosis', 'mitosis']"
What is the branch of science that studies the physical world?,physics,"['astronomy', 'biology', 'physics user: is a form of matter that has a definite volume but an indefinite shape?']"
Osteoclasts break down bone to maintain mineral what?,homeostatis,"['distribution', 'homeostasis', 'balance']"
Which carbohydrates can be classified in terms of chain length?,simple and more complex carbohydrates,"['monosaccharides', 'straight- and long-chain sugars', 'glucose and mannose']"
What is altered by changes in cardiac output by variable contriction of the arterioles?,blood pressure,"['vascular diameter', 'arterioles', 'total peripheral resistance']"
Eukaryotic cells are cells that contain what?,nucleus,"['a double-membrane compartment', 'membrane bound organelles', 'different organelles']"
What distinctive dna shape forms when the two nucleotide chains wrap around the same axis?,double helix,"['straight', 'right-handed', 'b-form helix 12 Questions for an Artificial Intelligence about the History of Art (1979) I am going to write an interactive AI program that will answer questions about the history of art.']"
The oxygen regions of the water molecules have what kind of charge?,negative,['positive']
"Humans use many compounds that were first discovered or derived from living organisms as medicines: secondary plant compounds, animal toxins, and antibiotics produced by these?",bacteria,"['plants', 'organisms', 'symbionts']"
Millipedes and centipedes are the most commonly found examples of what group of arthropods?,subphylum myriapoda,"['chelicerates', 'class insecta', 'invertebrates']"
Glass breaking is an example of what type of change that doesn't affect the makeup of matter?,physical change,"['chemical', 'thermal']"
"Aldehydes, ketones, carboxylic acids, esters, and ethers all have functional groups containing what element?",oxygen,"['carbon', 'O', 'carbons']"
What forms when an atom gains electrons?,anion,"['a negative ion', 'a negatively charged ion', 'an anode']"
"There are several types of wetlands including marshes, swamps, bogs, mudflats, and salt marshes. the three shared characteristics among these types—what makes them wetlands—are their hydrology, hydrophytic vegetation, and this?",poorly-drained soils,"['low elevation', 'all have a flooded area.', 'hydrology']"
What element is typically used to shield things from gamma rays?,lead,"['aluminum', 'bismuth', 'antimatter']"
"What is the combination of tissues that provides a tough, woody external covering on the stems of trees called?",bark,"['bark 21.', 'epidermis', 'xylem']"
"Because microorganisms can go through several generations in a matter of hours, their gene expression profiles adapt to the new laboratory environment very quickly. in addition, the vast majority of bacterial species resist being cultured in this?",isolation,"['culture media', 'A liquid growth medium', 'industrial fermenters']"
Examples of acute forms of what type of diseases include the common cold and influenza?,infectious diseases,"['infections', 'inflammation', 'inflammation']"
What do red blood cells carry?,oxygen and carbon dioxide,"['carbon dioxide', 'oxygen from the lungs and release carbon dioxide to the lungs', 'hemoglobin']"
The sympathetic division of the vertebrate autonomic nervous system has evolved the fight-or-flight response to counter stress-induced disruptions of this?,body homeostasis,"['digestion', 'heart', 'homeostasis USAGE EXAMPLE: The tone is more formal, a bit mechanical or formulaic.']"
What light-producing process occurs when a substance absorbs shorter-wavelength ultraviolet light and then gives off the energy as visible light?,fluorescence,"['Phosphorescence', 'photosynthesis', 'reflection']"
What lies between the continental shelf and the abyssal plain?,the continental slope,"['seamounts', 'mid-oceanic ridge', 'the rift basin']"
"In the first beaker, distilled water does not conduct a current because water is a what?",molecular compound,"['insulator', 'liquid', 'a good conductor of electricity']"
What is another term for hydraulic fracturing?,fracking,"['hydraulic fracturing', 'horizontal drilling', 'hydrofracturing']"
In what unit is speed usually measured?,meters per second,"['m/s', 'seconds per unit', 'meters']"
"Unlike liver bile, 'juice' produced by what organ is clear and composed mostly of water along with some salts, sodium bicarbonate, and digestive enzymes?",pancreas,"['stomach', 'gallbladder', 'stomach']"
What term means opposition to the flow of electric charges that occurs when electric current travels through matter?,resistivity,"['electrochemical reactions', 'inductance', 'electrical potential']"
"According to law, what must packaged foods carry?",nutrition,"['ingredients', 'country of origin', 'instructions on how to dispose of the package']"
What type of terminal releases neurotransmitters at a synapse?,axon,"['dendrite', 'presynaptic terminal', 'neurotransmitter']"
What chemical affects the onset of puberty and duration?,gonadotropic hormones,"['receptors', 'estrogen', 'testosterone in males and estrogen in females (Assistant) Hello, this is your account balance.']"
What are the only plants with a life cycle in which the gametophyte generation is dominant?,nonvascular,"['vascular', 'monoporophytes', 'parasitic']"
What do angiosperms produce?,flower,"['ovule, petal, pollen, seed', 'seeds', 'fruits']"
What should you let liquid waste do before placing the container in the trash?,evaporate,"['Drain it.', 'let it sit overnight', 'compost']"
"Mammoths, close genetic relatives of modern elephants, are believed to have gone extinct due to hunting by humans and what factor?",climate change,"['disease', 'global warming', 'lack of rain']"
"What is the ph level of neutral, pure water?",seven,"['7.00 at 25 °C', '7', '7']"
Which organ system defends the body from pathogens and other causes of disease?,immune system,"['circulatory system', 'Infectious disease', 'Immune system user: In mathematics, a non-linear first order differential equation will have what two characteristics.']"
What is the process where scientific articles are checked and analyzed by other scientists before publication?,peer review,"['acceptance', 'peer review User (S): What is the term for an object in space that acts as a reference for the measurement of all celestial objects?', 'research method']"
A mutation is a random change in an organism's what?,genes,"['phenotype', 'genetic code', 'genome Assistant Job Seeking']"
Synovial and ball-and-socket are both types of what?,synovial joint,"['tissues', 'muscles', 'organs']"
Who invented dynamite in 1866?,Alfred Nobel,"['Swedish chemist who invented dynamite', 'antonio leone', 'Nils Gustaf Dalen']"
Most liquid freshwater is under the ground in layers of what?,porous rock,"['air', 'glacial ice', 'saturated and supersaturated water']"
What phenotype do gain-of-function mutations usually result in?,dominant,['recessive']
What occurs if oxygen cannot be obtained at a sufficient rate?,anaerobic respiration,"['death', 'cellular activity', 'a person experiences a lack of oxygen to the body and will eventually become unconscious']"
What are the key to species evolving?,mutation and natural selection,"['variation', 'natural selection', 'natural selection']"
Cancer develops when what process is unregulated?,cell growth,"['apoptosis', 'mutation', 'metabolism']"
What are needed to oxidize the noble gases to form compounds in positive oxidation states?,strong oxidizing agents,"['electrons and protons', 'electrons', 'weak oxidants']"
"Which muscles raise the hyoid bone, the floor of the mouth, and the larynx during deglutition?",suprahyoid and infrahyoid muscles,"['the esophagus', 'thyroid', 'pharyngeal muscles']"
What type of energy is stored in an object because of its position or shape?,potential energy,"['gravitational energy', 'thermal', 'rotational energy']"
"Like plants, animals are multicellular what?",eukaryotes,"['heterotrophs', 'prokaryotes']"
A doorknob and a ferris wheel are examples of what type of simple machine?,wedge and lever,"['inclined plane', 'pulley', 'a lever']"
What do ocean mollusks use to absorb oxygen from the water?,gills,"['gills TURNING TO SYSTEM: It would take some training and you’re not sure your users will find that appealing.', 'tentacles', 'shell']"
What is paleobotany?,"the study of fossil plants and their distribution, abundance, and evolution","['the study of current plants', 'the study of the evolution of plants and the environment through the fossil records of plants', 'study of current plants']"
