question,correct_answer,wrong_answer
what does Gringo mean,Gringo is a loanword from Spanish originally denoting an English-speaking person.,"['Gringo is an English term that originated in Spanish for the men that were invited by their government to migrate to Latin America on short term contracts in order to develop the country, especially Brazil and Cuba during Colonial America.', 'Some have pointed to the historical use of ""gringo"" by African slaves of the ""Spanish', 'Gringo is a disparaging term for an American, Australian, Irish, English, German, or Scottish non-Hispanic person that is not considered white or Latinx (e.g.']"
what does Gringo mean,Gringo is a loanword from Spanish originally denoting an English-speaking person.,"['gringo (American Spanish ), gri-gri (Caribbean), gring (M', 'Gringos or Gringas are colloquial names in Spanish for people of European descent', 'The English translation of gringo is gringo.']"
what does freedom of speech cover,"The freedom of speech allows and regulates the ability of an individual or a corporation to speak to other persons or a public audience (or to a government), and to disseminate information and ideas. The freedom of speech is interpreted as encomp","[""Freedom of speech is guaranteed in the First Amendment to the United States Constitution and is defined as the fundamental right to vocalize one's opinions publicly without governmental interference."", 'The speech restriction is ""content neutral"" if this was because the public location lacked suitable facilities for the speech.', ""Freedom of speech is the right to express one's opinions and ideas without fear of censorship or punishment, irrespective of whether the opinion or idea is considered to be politically correct or beyond the norm.""]"
what does automatic paper feeder on printers mean,All automatic document feeder printers have a manual paper-pusher setting that makes the machine work as a regular flatbed scanner.,"['In any printer or copier with a paper tray, auto/manually selects the number of sheets that the feeder reads to determine how many sheets it should count upward to before stopping.', 'Most single- or twin-function printers have a paper cassette, which can hold a single stack of paper.', 'Paper feeder can refer to a feeder that feeds paper into a document or a fe']"
what county is san jose in?,San Jose is a city in the U.S. state of California and the county seat of Santa Clara County.,"['San Jose, California (San Jo-se), is the largest city and the primary Silicon Valley', 'San Jose.', 'San Jose is in Santa Clara County.']"
what cars have smart key systems,"It was first developed by Siemens in the mid-1990s and introduced by Mercedes-Benz under the name ""Keyless Go"" in 1998 on the W220 S-Class following its design patent filed by Daimler-Benz on May 17, 1997.","[""Many of Hyundai's later models for North America, Europe and the Middle East have adopted the Smart Key System."", 'For passenger cars, a smart key system can control remote locks and starts for the car.', 'For other uses, see Keyless entry (disambiguation) and Smart card (disambiguation)..']"
how old a child pedophile crime,A person is considered a pedophile if he or she is primarily sexually interested in prepubescent children (generally under the age of 13). A pedophile can be heterosexual or homosexual.,"['While the first recorded mention of ""child-love"" is found in the Greek works of the', 'The age of consent across the globe varies as does the legal minimum age without parental consent.', 'In the United States, the legal age of consent is 16 years.']"
how many people were killed in the holocaust,"According to the United States Holocaust Memorial Museum, 6 million Jews were killed.","['6,000,000 Jews were murdered outright, 1,000,000 were disabled, 100,000 were drafted into forced labor, and the remaining 1', 'More people died during the Holocaust than died during any other event in recorded history.', 'The number of total victims killed varies from reputable sources.']"
what can silk be used for,"In fact, silk fibres are often found in spider webs, although they are generally too thin for human clothing.","['It is also a natural protein fiber, some forms of which can be woven into textiles', 'Silk can be used in: Clothes: Silk comes in the finest and hardest types of silk.', 'Silk is made from silkworms']"
what channel is letterman on,"The Late Show with David Letterman was an American late-night talk show broadcast from the Ed Sullivan Theatre on Broadway in Midtown Manhattan, New York City on CBS.","['The Late Show with Stephen Colbert is an American late-night talk show based in New York City that broadcasts on CBS from the Ed Sullivan Theater.', 'Letterman has won six Emmy Awards, the Kennedy Center Mark Twain Prize for American Hum', ""'The Late Show', hosted by Stephen Colbert, currently airs on @CBS.""]"
what do cyberstalkers do,"Cyberstalking is the use of information and communication technology to torment or threaten an individual, group, or organization, often with the motivation to extort or control the target.","['Cyberstalking is any activity which a reasonable person would know is likely to cause harm to', 'The terms cyberstalking or cyber-harassment refers to the use of the', 'Cyberstalking is the use of the Internet or other electronic means to stalk or har']"
what kind a is tilapia,Tilapia are a species of ray-finned fish in the cichlid family.,"['Tilapia is a fast growing tilapia / noun / (plural tilapias) any one of several species of mainly Oreochromis of freshwater cichlidae widely cultured for food.', 'Tilapia is the common name for nearly a hundred species of cichlid fish from the coelotilapinos group, with the tilapiai tribe, of which the economically most important species is the Nile tilap', 'Nile tilapia is a freshwater fish named after the African Nile River where it was first found.']"
how many grape farms in united states,"As of the last census of agriculture in 2007, there were 2.2 million farms, covering an area of , an average of per farm.","['California has the largest quantity of vineyard in the United States with over 480,000 acres, but by area it is the fourth-largest in the United States.', 'In 2017, US growers produced roughly 7.98 million tons of grapes, down from 9.48 million tons in 2016.', 'As of the last census of agriculture in 2007, there were 2']"
what freezes faster? hot or cold water?,"Hot water freezes faster than cold water as it is closer to the freezing point. As the graph shows, the time needed for both the hot and cold water to freeze increases with an increase in temperature and vice versa :","['For some materials water may freeze faster or slower than for others.', 'Of course, if the water is already frozen, ice cubes (which are colder than most room-temperature water) can be added and the frozen water will become water (and heat up) much more quickly.', ""I can't answer the question, because it's not well-defined.""]"
how many qfc stores are there,Quality Food Centers (QFC)/(also the initialism: Quality Food City) is a major chain of supermarkets located in the western United States. ASSISTANT: Quality Food Centers (QFC) oper,"['There are 49 QFC locations, with 48 in Washington alone.', 'QFC is one of the oldest grocery store chains in Washington State with over 6', 'The store opened on March 4, 1968, and featured one aisle.']"
what affects the money supply,"There is strong empirical evidence of a direct relation between money-supply growth and long-term price inflation, at least for rapid increases in the amount of money in the economy. That is, each $ increase in M2 (a measure","['In the US, the Federal Reserve System (FRS) has primary responsibility over monetary policy, although this is not the only game in town: the United States Congress also plays a role, as taxes and government spending are used as', 'A monetary aggregate is a statistical term for a monetary aggregate, which is an aggregate of all the money supply in an economy.', 'The money supply or money stock, is the total stock of ""currency"", banknotes and co']"
how is today special?,Today's Special is a Canadian children's television show produced by Clive VanderBurgh at TVOntario from 1981 to 1987.,"['Today is December 31st, 2013.', 'Today is special because it is the only day so far when the date of the day is the same as the month it is in.', ""Today's special was produced by Robert Stripe, who left the show in 19""]"
What Causes Brain Freeze,"Brain freeze occurs when the expansion of ice crystals in the roof of the mouth causes a localized tightening of the blood vessels, which restricts blood flow in that area.","['A brain freeze is a headache-like pain that occurs in your brain after eating something', 'Brain freeze is a sudden, intense burst of cold, commonly in the face, triggered by the consumption of cold food or drink of a very cold temperature.', 'For this study, researchers used a tilt maze to test how people reacted to water after a cold-water brain freeze.']"
what does auld lang syne mean,"At one time, auld lang syne was a compliment in itself, implying friendship and familiarity.","['It may not mean what you think it does', 'Auld Lang Syne\' was first published in ""Ancient and Modern Scots Songs"" (1711).', 'Auld lang syne is a traditional Scots poem written by Robert Burns in 17']"
what does leeroy jenkins mean,"It has spread to such an extent that it has become the accepted name for the technique, even after the game and server were shut down, and that the meme has even been adapted for non-RTS games.","['Leeroy Jenkins is a character from an early 1990s video game, Warcraft.', 'Leeroy Jenkins is an in-universe character in The Secret of Monkey Island.', 'Leeroy Jenkins (also incorrectly attributed to Hilonious and Ogrithor ) is a meme originating within the Blizzard Entertainment game Warcraft III.']"
how many times has a player hit for the cycle,A player or batter hitting for the cycle is awarded an achievement.,"['The cycle is the only batting achievement that does not require a player to get on base, such as via a walk.', 'According to the records kept by sports author Bill James, only eight players have hit for the cycle more than once in Major League Baseball : Al Rosen (twice), Joe DiMaggio, Wes Ferrell, Ted Williams, Mike Schmidt, Bobby Gr', 'The cycle has been recorded 294 times since Curry Foley in 18']"
how many times has a player hit for the cycle,A player or batter hitting for the cycle is awarded an achievement.,"['Nine MLB players have hit for the cycle twice, all of them position players.', 'The cycle has happened less than 800 times in Major League Baseball (MLB) history, and since it became an official statistical record in 1900, it has been achieved in only 21 World Series (including the', 'Cycle']"
how many episodes of Lost were there,"The sixth season of Lost commenced airing on January 19, 2009, on ABC, concluded on a two-hour season premiere on May 24 the same year, and consisted of 16 episodes.","['The original broadcast aired on ABC on September 22, 2004.', 'The series began with a 12-minute prologue, originally broadcast after the airing of the pilot episode.', 'Lost is an American television drama series created by J.J. Abrams, Damon Lindel']"
what does it mean if i'm flat footed?,"In a human standing position, the feet are in partial contact with the ground, with a gap under the heel and a flat surface under the toe.","['Flat-footedness generally refers to the way a horse moves.', 'flat-footed adj.', 'flatfooted adj.']"
what age group is generation x,"Generation X (), or simply Xers, is the generation born after the baby boom and before the millennials (Generation Y ).","['The generation following Generation X is known by several different terms: Generation Y (originally coined in', 'Generation X are often said to have a pessimistic outlook compared to previous generations, including Generation X themselves.', 'The baby boomers (also known as the boomer generation or boomers) is a']"
what glows in the dark,"Glow-in-the-dark radiation is a form of luminescence, wherein the molecules of the substance emit light when charged with radiation energy in the visible or non-visible regions of the light emitting spectra.","['Glows in the dark.', 'Radioactive decay that produces luminescence is not the only source of a glowing substance: natural phenomena such as bioluminescence and other phenomena that radiate light, such as phosphorescence,', 'Glow-in-the-dark (GITD) is the descriptive name of chemical substances that emit visible light after being charged, typically using ultraviolet (UV) light.']"
what did sparta do around 650 bc,By 650 B.C.,"['By 650 BC the population of Sparta numbered a mere 500, but the number had grown to 2,000 by 500 BC; it reached the same level again by the time of the', 'The Second Messenian War broke out in 700 BC.', 'Sparta entered a period of decline ca 550 BC.']"
what fantasy american football means,"In fantasy sports, one may draft or choose a team of real players from a list of available players for each game to score points based on the statistical performance of those players in actual games.","['American fantasy is an unincorporated community in Sullivan and Orange counties, New York, United States.', 'American football (also called gridiron football ) is a sport played by two teams of 1', 'The purpose of these rules is to make offensive and defensive players equal as possible, so a particular running back can only score so many touchdowns over the course of a season']"
how many muscles in the body,The number is estimated to be between 620-830.,"['There are about 640 distinct muscles in the human body.', 'There are approximately 642 skeletal muscles in the typical human body and approximately', 'If you add all the muscle bellies together, there are about 640 muscles in the human body.']"
how many muscles in the body,The number is estimated to be between 620-830.,"['The total number of muscles in the body has been reported as 639 by two different reports, the same researchers published conflicting results.', 'The number of muscles in the body depends upon the way the muscle is counted; some sources', 'By no measure is the human body composed of 600,000 unique muscles.']"
how much does a gold bar weigh,"Gold bars that are accepted within the LBMA as delivery standards are typically issued in 500 g and 1,000 g sizes.","['How much does a 1 kg gold bar cost in dollars?.', '1 troy ounce(around 31.5 grams) is used to make gold coins, such as the Krugerrand, American Eagle and the Canada Maple Leaf.', 'A large gold bar can vary between 3 and 25 kilograms (much like a bag of sugar), depending on its purity and the country of origin, with the most common bars weighing around 2 kilog']"
how much does a gold bar weigh,"Gold bars that are accepted within the LBMA as delivery standards are typically issued in 500 g and 1,000 g sizes.","['A troy ounce gold bar is 31.1034768 grams, more than a gram lighter than the avoirdupois or international ounce.', 'A gold bar or ingot is an item, often a cast metal alloy and measuring rectangular, square, or in rare cases round with a stamped purity and weight.', '400 bars, about 200 kg, of the gold recovered from this site']"
how many kids does archie manning have,"Archie Manning and his wife Olivia have three children: Peyton Manning, former quarterback of the Indianapolis Colts, and New Orleans Saints and former head coach of the University of Mississippi, Eli Manning, also a","['The couple are separated but still legally married.', 'Archie Manning, III played college football as a quarterback from 1976-79 at the University of Mississippi where he quarterbacked the ""Wildcat"" offense as quarterback and later at the University of Notre', 'Peyton has two children: Payton Williams Manning (born 1991) is a running back who played in college for Ole Miss and now plays semi-pro baseball for the Evansville Otters [19].']"
what does an advocacy website promote?,"Advocacy is a broad term, referring to activities by an individual or group which aims to influence decisions within political, economic, and social institutions or other organizations.","[""On an advocacy Web site, visitors can learn more about the group's work and its related issues, take action by signing a petition or making a donation, view resources, and join the advocacy community."", 'A web site that promotes a point of view or a political cause, often in a partisan', 'Advocacy websites often function as a collection of information about a specific subject, such as a health advocacy website about cancer.']"
what does the green mean on the mexican flag,"The Mexican flag consists of three equal horizontal bands of green, white and red with the coat of arms on a central red square.","['The flag of Mexico (Spanish : Bandera de Mexico) is a horizontal tricolor of', 'The green in the center of the flag symbolizes hope and independence.', 'In July 17, 1821, Mexico declared its independence from Spain.']"
how often do elk have sex,"Male elk, or elk, go into rut during the late summer in September and October. They will spend most of that time on their feet, roaring and bugling to attract elk-females, called cows,","['Elk are most active during the rut, and bulls (male elk) mate', 'Elk mating occurs in the fall (October-November), when, the rut, in which bulls battle over females on estrus.', 'The amount of time elk spend at a specific location varies by age and activity.']"
what city is george washington university,"George Washington University (commonly referred to as GW or GWU ) is a private research university in Foggy Bottom, Washington, D.C., United States, founded in 1821.","['Georgetown University ( G-Town, Georgetown, or Georaaadown ) is a Jesuit research university located in the Georgetown neighborhood of Washington, D.C.', 'Washington and Lee University (informally Washington and Lee or W&L) is a private,', 'The university enrolls over 10,000 students across four undergraduate and 14 graduate programs.']"
what does the temporal lobe part of the brain do,"The major functions of the temporal lobes include memory, hearing (auditory cortex), and processing information about temporal relationships (cognitive, or what is known in psychology as the ""executive"") functions.","['Temporal lobe (TAY-mol-oh-lahyb) is the area of the brain located under the hairline, just behind the eye sockets, just above the jaw.', 'The human temporal lobe makes up a portion of the outer surface of the brain.The term comes', 'The sensory cortex region of the temporal lobe processes touch and hearing the auditory cortex region is responsible for hearing.']"
how many lungs does a human have,"The human respiratory system consists of the upper airways, lungs, bronchi and the diaphragm. The airways lead into the lungs through the nose, mouth, pharynx, larynx, trachea","['We have a total of 24 ribs that are divided into two groups: 12 true ribs, and 10 false ribs, the latter of which are not attached to the sternum.', 'Healthy, adult human lungs are approximately 6.01 m (~200 inches) in length.', 'The human lungs have an estimated volume of approximately 6 litres and consist of three principal an']"
What a Margarita contains,"The Margarita is a cocktail made with tequila, Triple Sec Cointreau and lime juice, and may be served with other ingredients and garnishes.","['A margarita is a cocktail made with triple sec (a citrus-flavored liqueur), tequila, and lime juice, and served either frozen or on the rocks.', 'Originally from Brazil, the margarita is a cocktail made with white tequila, triple sec, and lime juice, and served with salt on the rim of the glass.', 'It typically comes premade in a metal can, glass bottle, or plastic cup, and is dispensed by use of a shaker, or by a machine similar to a soft serve ice cream machine.']"
what color is burgundy,Burgundy () is a dark red colour (also called claret ) that takes its name from the Burgundy wine and the French region of Burgundy.,"['Burgundy is an area of central France consisting of five departments and the territory of the City of Burgundy, centered on the administrative center of Dijon.', 'Burgundy is an autonomous region of France, the capital of which is Dijon.', 'Burgundy /ˈbɜːrdəni/ is the color that is named after the area around Burgundy in France, before the area was called Bourgogne.']"
what color is burgundy,Burgundy () is a dark red colour (also called claret ) that takes its name from the Burgundy wine and the French region of Burgundy.,"['Burgundy is a deep wine color, that can vary in hue, similar to that of', '[adjective] [usually the possessive ] of the color or the hue of deep red to dark purple In the case of the English language, this is because it was created earlier and became established as a dominant world language in', 'Burgundy color.']"
what is the population of center tx,"Center, Texas : Population and Housing Unit Estimates.","['Incorporated 1900, it is the county seat of Shelby County', 'The center population has risen by 14.32 percent in 20 years.', 'Center is a city in, located approximately 60 miles (97 km) southeast of']"
what causes photo red eye,Overcome Red-Eye When Working or Playing Indoors.,"['Photo Red Eye is an effect used to create pictures and video in a monochrome (black and white) or sepia tone.', 'Red eye (also spelled red-eye) is a photographic term referring to a defect', 'In the context of biomedicine, photodamage describes damage to tissues or cells as a consequence of exposure to light.']"
how many students go to santa barbara,"Undergraduate: 8,544; Graduate: 2,517 (Fall 2014) Labels: google home, google home alexa, google home assistant, google home assistant","['As of fall 2014, the enrollment was 20,991 students.', 'There were 914 students in the class of 2008, the last year the college reported its graduation statistics.', ""The campus, including UCSB's two campuses on the mainland and off-camp""]"
what day is the feast of st joseph's?,"St Joseph's, also known as St Joseph's Feast and the Feast of St. Joseph, is a popular Catholic holiday honoring St. Joseph.","[""Saint Joseph's day is traditionally celebrated today, but there is no universal agreement as to when his feast falls."", 'Saint Joseph is a Catholic feast day celebrated on March 19.', ""St. Joseph's Day.""]"
what culture is mariah carey,"Mariah Carey (born March 27, 1969 or 1970) is an American singer, songwriter, record producer, and actress.","['Mariah Carey (born March 27, 1969) is an American singer.', 'Her multi-ethnic background has also allowed her to appreciate diverse cultures and music; she has been known to play and record a wide range of music genres.', 'Music video for All I Want for Christmas.']"
how was color introduced in film?,"The earliest films were essentially short sequences of static shots, but as the medium developed and film production technology improved over the years, a more dynamic visual experience was created.","['Color films were first developed in the late 1800s.', 'Many movies were originally shot in black and white with the color added in post-production.', ""The first color-movies by Thomas Armat, which he called 'phochromatography', showed faded, green objects.""]"
how was color introduced in film?,"The earliest films were essentially short sequences of static shots, but as the medium developed and film production technology improved over the years, a more dynamic visual experience was created.","['There, Lumière presented the projected-film version of ""The Train Station,"" a 50-second depiction of a train arriving at a small French station.', 'The first commercial widespread use of color was in the film The Adventures of Prince Ach', 'In 1891 Auguste and Louis Lumière introduced motion pictures and were followed by Thomas A Edison and the Vitascope.']"
what artist have song with ashanti?,"Ashanti has collaborated with artists including Ja Rule, Nelly, Brian McKnight, Fat Joe, Charli Baltimore and Pink.","['The single\'s chorus was sampled from ""Let\'s Get Busy "" by American hipster artist Danny Boy.', 'The following artists had songs containing a feature collaboration with Ashanti during the period of their official collaborations.', 'Ashanti has recorded two of her own number-one singles on the Billboard Hot 100']"
what came first army or air force,"Originally called the United States Army Air Corps (USAAC), it was later renamed the United States Army Air Forces (USAAF).","[""Many of the first armed air forces were formed during the First World War, but the first true independent air force was Italy's Regia Aeronautica which was formed on May 28, 1923."", 'AAF, a division of the U.S. Army (now discontinued).', 'The British Royal Air Force became an independent service when it was institutionalized on April 1, 1918.']"
what does the FOIA apply to,"The Freedom of Information Act (FOIA), 5 U.S.C. § 552, is a federal freedom of information law that allows for the full or partial disclosure of previously unreleased information and documents controlled by","['Executive Order No.', 'The Freedom of Information Act (FOIA), 5 U.S.C.', 'The Freedom of Information Act (FOIA), 5 U.S.C.']"
how many countries are member of the eu?,"There are currently 28 member states of the European Union, all countries that are members of the Council of the European Union.","['Austria, Belgium, Bulgaria, Croatia, Republic of Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg', 'The European Union is a politico-economic union of 28 countries that share a common', '28.']"
how many vehicles are registered in the us,"249,045,579 passenger vehicles were registered in the United States at the end of September 2011.","['There are 290,845,640 registered vehicles in the United States.', 'It is estimated that there are 320 million registered vehicles in the United States — about one-third of them light trucks (SUVs, mini-vans, or pick-up trucks), with the rest being', 'As of January 1, 2010, over 658 million commercial and private vehicles (cars and trucks) weighing 10,000 pounds or less were registered in the United States,']"
what does a laboratory in a gynecologist office consist of,"A medical lab test is a laboratory analysis performed on a blood, urine, tissue, or other type of specimen, to detect, diagnose, treat, or prevent disease.","['In this office the patients come for lab tests, ultrasound, and pap test, as well as routine gynecological checkups.', 'The Gyn Lab does not offer obstetric services - these are the realm of an Obstetrician /Gynecologist, an MD specializing in birth.', ""A laboratory in a gynecologist office will have tests that are specific to women, such as PAP smears, as well as basic lab tests that are standard for any doctor's office.""]"
what cards do you need in poker to get a royal flush,"The Royal Flush is the best possible hand in traditional poker and is composed of one ten-rank card (such as 10 ), one jack, one queen, one king, and one ace.","['The royal flush is the highest possible hand in poker, based on standard ranking of poker hands.', 'The five-card hand is also simply called a flush.', 'You need at least a royal flush, a straight flush, a four-of-a-kind']"
what does xylem transport,"Xylem, the fluid of plant tissues that conducts upward solutions away from the roots.","['Xylem is a complex tissue in vascular plants that transports water from roots to', 'Plants are multicellular organisms typically composed of cell walls containing cellulose, primary constructed using a series of lignin and suberin polymers, built around a network of cellulose fibrils.', 'Xylem is composed of the following four distinct cell types : tracheids, vessels, x']"
what do jehovah witnesses believe,Jehovah's Witnesses are a millennialist Christian denomination with nontrinitarian beliefs distinct from mainstream Christianity.,"[""The Watch Tower Bible and Tract Society is the umbrella organization for Jehovah's Witnesses, and is formally distinct from the religion."", ""They believe Christ's human nature— which they refer to as the soul —was destroyed in the year 1914 (AD MIA) or 6071 B.C.E., at which point its spirit separated from"", ""Jehovah's Witnesses believe that God is the supreme Creator, the only God, existing eternally (without a beginning ) in three expressions (forms): God the Father, his Son (Jesus Christ), and""]"
what do jehovah witnesses believe,Jehovah's Witnesses are a millennialist Christian denomination with nontrinitarian beliefs distinct from mainstream Christianity.,"[""Jehovah's Witnesses are a millenarian restorationist Christian denomination"", ""Jehovah's Witnesses believe that the Bible, including the New Testament, is God's authoritative statement about himself, his creation, and his relationship—both past and future—with people who respond to God's promises and"", ""They believe Jesus Christ is the savior of humanity because he is God's only- begotten Son.""]"
how old old is xp operating system,Microsoft released XP and Windows Server 2003 on 24th October 2001.,"['Windows XP is the most recent consumer version of Microsoft Windows and the most popular.', 'A preview build of Windows XP named Microsoft Windows XP Fallback Mode was leaked onto the Internet and was subsequently unleashed on P2P networks, with a release date estimated to be in mid-2000.', 'Microsoft started selling Microsoft Windows XP to consumers on October 25, 200']"
how many pawns in chess,The chesspawn are the two pawns moved directly in front of the opponent's king. The chesspawn are typically the first pieces moved in the opening.,"['Pawns are the first and most common chess pieces played.', 'In draughts, the pieces are initially lined up in two columns with eight pieces labeled A through H.', 'The chessboard consists of an 8×8 square grid where each square alternates between light and dark (i.e.']"
what countries allow gays to openly serve in the military,"Around the world, the ban on homosexuals serving openly in the military has been repealed in Australia, New Zealand, Brazil, Turkey, United States, Netherlands, and Spain.","['The military laws concerning homosexuality in the United States prohibits the recruitment of LGBT individuals by and any participation by LGBT persons.', 'According to Pew Research Center, a total of 69 countries had prohibited homosexual', 'No military in the world allows women to serve in battle.']"
how is hydrogen produced,Hydrogen is produced commercially by reacting hot steam with natural gas or steam derived from organic chemicals.,"['There are a number of ways in which hydrogen can be produced.', 'In the presence of sunlight, photosynthesis converts CO 2 and water into organic comp', 'Hydrogen can be created in a variety of ways, including thermal and electrochemical splits of hydrocarbons, a process not widely used, such as through organic decomposition and using electricity obtained from renewable sources and solar energy']"
how many percent is a basis point,Base point is 0. One base point equals 0.1 percentage point.,"[""This table shows the monthly number of basis points (in blue) added to the target interest rate by the Bank of Japan, in response to economic reports, as determined by the central bank's Board of Directors."", '1 basis point is equal to 0.01%.', 'A basis point (BP), also thousandth of one percent (1 /), or, alternatively, percentage point or point in a percentage (e.g., a movement of 0.025, or 25 basis points']"
how many percent is a basis point,Base point is 0. One base point equals 0.1 percentage point.,"['A basis point (BPS or bp) is a unit of measurement used to describe the percentage', 'A basis point (BP), also thousandth of one percent (1 /), or, alternatively, percentage point or point in a percentage (e.g., a movement of 0.025, or 25 basis points', ""This table shows the monthly number of basis points (in blue) added to the target interest rate by the Bank of Japan, in response to economic reports, as determined by the central bank's Board of Directors.""]"
how many percent is a basis point,Base point is 0. One base point equals 0.1 percentage point.,"['The word ""basis"" has at least two different senses, in mathematics and in common English', ""This table shows the monthly number of basis points (in blue) added to the target interest rate by the Bank of Japan, in response to economic reports, as determined by the central bank's Board of Directors."", '100 basis points = 1 percentage point.']"
what genre is bloody beetroots,Bloody Beetroots is an electro house duo from Italy - the band is composed by only two members: Enrico De Togni (a.k.a. Tommy Tea) and Sir Robert Charlton. :,"['Bloody Beetroots is an electronic music group that mixes techno and rock.', 'Bloody Beetroots is an Italian rock band from Rome founded in 2008 by', 'In 2010, DJ Mag ranked Bloody Beetroots at number 35 in the Top 100 DJs Poll.']"
what country is madrid spain in,Madrid (in Spanish Madridad) is the capital of Spain and the largest municipality.,"['The administrative capital of Spain (), the city of Madrid, has a population of around 3 million', 'Spanning a total of 146,968 hectares (363,500 acres) and located at the centre of the Iberian Megalithic Culture and the Bronze Age, the property also features', 'It is the seat of government and residence of the Spanish monarch, with the title of King of Spain']"
What causes rogue waves,"Rogue waves, also known as freak waves, storm waves, monster waves, killer waves, rogues, and black dogs, are large unexpected, and sometimes abnormally large, waves that deviate significantly from the normal height","[""Rogue waves are rare, solitary waves which appear even larger and more dangerous than the normal waves usually seen in the world's oceans."", 'Most rogue waves can be traced to a particular weather system such as a storm', 'The causes of rogue waves are not well understood.']"
what happened to montgomery clift,"He was considered a serious dramatic actor, but his personal life became a sensation unto itself, particularly his relationship with his lover and ""manager,"" John Huston.","[""On June 28, 1966, in Santa Monica, California after Clift's death in a motor vehicle accident, his body was cremated and his ashes were scattered in the Indian Ocean."", 'As a film star, Clift was often labeled as an actor whose performances were of the ""method"", however he did not embrace this label.', 'Montgomery Clift was a talented and famous Hollywood actor and also the son, of Ralph Nelson Clift, who was also associated with Hollywood, died in 1956 Libraries of the Future for the Internet of Things']"
what caused the world war 2,"German Nazism is often blamed for the start of World War 2 (and the World Wars in general ), but it is the responsibility of leaders of democratic nations to prevent war.","[""The Second World War, often abbreviated as WWII or WW2, was a global military conflict lasting from 1939 to 1945, which involved most of the world's nations, including all"", 'It was a major part of the Second World War, which was primarily centred in Europe..', 'Nazi Party officials in Germany promoted the idea of an inevitable, future war between the Aryan master race and Jews, and that the time for conflict had arrived.']"
what caused the world war 2,"German Nazism is often blamed for the start of World War 2 (and the World Wars in general ), but it is the responsibility of leaders of democratic nations to prevent war.","[""The Second World War, often abbreviated as WWII or WW2, was a global military conflict lasting from 1939 to 1945, which involved most of the world's nations, including all"", 'The Second World War is a term used to describe the fighting in Europe, Asia, the Pacific, Canada, and around the world between 1939 and 1945.', 'Nazi Party officials in Germany promoted the idea of an inevitable, future war between the Aryan master race and Jews, and that the time for conflict had arrived.']"
how many people die from myasthenia gravis per year,"Approximately 14 to 17 per million per year. A significant amount of research is being carried out on Myasthenia gravis, with an increased amount of funds being allocated by the National Institutes of Health and American medical","['Myasthenia gravis ( MG) is a rare autoimmune neuromuscular disease that causes weakness in the musculature of the human body.', 'Global myasthenia gravis (MG) therapeutics market is projected to reach USD 520.2 million by 2023.', 'Annual number of deaths from ischemic stroke per 100,000']"
how many rooms in borgata hotel,"The hotel boasts 568 rooms and 124 suites and spans 55 floors, with guest rooms ranging from 440 square feet (41 m 2) to 1021","['3348', 'It has 465 rooms in all.', '22,928 sq.']"
what country has the most muslims in the world,"Muslims constitute about 13.4% of Indonesia's total population of 260 million, but most of them are Sunni. It's also really interesting to see what your AI's take are","['The country with the highest percentage of Muslims is Kosovo at 95.0%.', 'With more than 1.', 'Saudi Arabia has the second largest Muslim population in the world (90%) after Indonesia (90%).']"
what country is dubai in,Dubai is one of the seven emirates that make up the United Arab Emirates.,"['United Arab Emirates.', 'United Arab Emirates', 'Dubai is sometimes called the "" Vegas of the Middle East,"" due to its lawlessness and its reputation for crime.']"
how much of earth is covered ocean water,"As the most prominent characteristic of Earth is its surface being covered mostly with salt-water oceans, the proportion of the Earth that is covered by oceans is a common measure used to discuss the size of the Earth.","['Approximately 70.8% of the surface of the Earth is water-covered', 'The area occupied by salt water and ice is 70.8%, or some 32', 'The oceans cover approximately 71% of the surface of the Earth']"
how is root beer made?,"Root beer is a soda pop flavored with extracts, spices, and natural flavorings.","['Sassafras albidum, commonly called sassafras or the sassafras', 'Root beer typically contains extracts and/or purees from various roots and barks, including sassafras, sarsaparilla, licorice, anise, dandelion, and burdock, but does', 'This recipe has been handed down through my family and was a favorite of the local children in the town where I grew up.']"
what does informal logic mean,"Informal logic is a form of philosophy that studies the logical basis of informal reasoning (or), i.e., reasoning that falls outside the scope of formal (or mathematical) logic.","['Informal logic (sometimes called critical reasoning) includes those aspects of reasoning that are neither formal nor', 'Informal logic refers to the non-deductive use of valid forms of reasoning.', 'In informal logic, as compared to formal logic, the principles of reasoning are expressed in ordinary or']"
what country is turkey in,"Turkey (Turkish : Türkiye ), officially the Republic of Turkey (Turkish : Cumhuriyet Türkiye ), is a transcontinental parliamentary constitutional republic straddling the Anatolian and Euras","['Ankara is the capital of Turkey, located in central Anatolia, the administrative, economic, cultural, and industrial center of Turkey.', 'In 1923, Mustafa Kemal (later named Kemal', 'Turkic countries are the republics of the Turkic world or Turkic-speaking countries, which are officially designated as such on their territory through the official use of the title ""Turkic "" (Turkish: Türkçe']"
